,sip,sport,dip,dport,protocol,first_timestamp_ms,nfs_app_label,nfs_traffic_type_label,nfs_requested_server_name,hash,vpn,http_host,dns_query,dns_ans,fqdn,sni,reverse_ip,file_name
29,10.179.59.156,45244,142.250.69.110,443,6,1734380807835,TLS.GoogleServices,Web,play-fe.googleapis.com,1b3c6da0decc6ccfab1871b9a0378687,0,0,0,0,0,play-fe.googleapis.com,pnyula-ab-in-f14.1e100.net,vpn_nordvpn.pcap
30,10.179.59.156,18028,64.71.255.254,53,17,1734380807872,DNS,Network,c3fyfk-launches.appsflyersdk.com,9462de3f437876e36f3b9fc98376c039,0,0,c3fyfk-launches.appsflyersdk.com,54.230.48.34,server-18-67-38-65.yto50.r.cloudfront.net,0,dns.wp.net.rogers.com,vpn_nordvpn.pcap
31,10.179.59.156,43480,54.230.48.34,443,6,1734380808449,TLS,Web,c3fyfk-launches.appsflyersdk.com,2eaae6b2047479b38a41cf24b2d060e2,0,0,0,0,0,c3fyfk-launches.appsflyersdk.com,server-54-230-48-34.yul62.r.cloudfront.net,vpn_nordvpn.pcap
32,10.179.59.156,40808,172.64.153.12,443,6,1734380808551,TLS,Web,napps-1.com,62c7f33e0583673117329d0247918af2,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
33,10.179.59.156,40814,172.64.153.12,443,6,1734380808552,TLS,Web,napps-1.com,b69b65b0a9c2728b2f48cd3673ad3dcb,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
34,10.179.59.156,40820,172.64.153.12,443,6,1734380808553,TLS,Web,napps-1.com,01cd8f3390a0e7ebc40323cbbaf34c12,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
35,10.179.59.156,38290,100.64.0.2,853,6,1734380815923,DoH_DoT,Network,,4fd9cf1062053289488220489301e48e,0,0,0,0,0,0,,vpn_nordvpn.pcap
36,10.179.59.156,44787,93.118.43.4,51820,17,1734380815982,WireGuard,VPN,,9020eb2c724d51430c4ed9215f32a2d9,WireGuard,0,0,0,0,0,,vpn_nordvpn.pcap
37,10.179.59.156,45450,31.13.82.55,443,6,1734380820746,WhatsApp,Chat,,e08bc8c25c5ae09c5d6405b5bbc8f46b,0,0,0,0,0,0,whatsapp-chatd-edge-shv-01-nrt1.facebook.com,vpn_nordvpn.pcap
38,10.179.59.156,40844,172.64.153.12,443,6,1734380820747,TLS,Web,napps-1.com,78481670c7ba007c7cd98e9ef62a6e96,0,0,0,0,0,napps-1.com,,vpn_nordvpn.pcap
39,10.179.59.156,40969,104.18.34.244,443,6,1734380820777,TLS,Web,applytics.napps-1.com,f89a757a04a97327b0d4f405d0627d5a,0,0,0,0,0,applytics.napps-1.com,,vpn_nordvpn.pcap
40,10.179.59.156,47352,142.250.69.68,443,6,1734380826997,TLS.Google,Web,www.google.com,992263560ba77373cb1b74bbbede3f1c,0,0,0,0,0,www.google.com,tzyula-aa-in-f4.1e100.net,vpn_nordvpn.pcap
